team_name,team_abbrv,team_url_name,team_url,win_total,tony_win_total_pick_flag,tony_win_total_confidence,tony_win_total_pick_num,andrew_win_total_pick_flag,andrew_win_total_confidence,andrew_win_total_pick_num
Atlanta Hawks,ATL,atlanta-hawks,http://espn.go.com/nba/team/_/name/atl/atlanta-hawks,43.5,u,,,u,,
Boston Celtics,BOS,boston-celtics,http://espn.go.com/nba/team/_/name/bos/boston-celtics,51.5,o,,,o,,
Brooklyn Nets,BKN,brooklyn-nets,http://espn.go.com/nba/team/_/name/bkn/brooklyn-nets,43.5,u,,,o,,
Charlotte Hornets,CHA,charlotte-hornets,http://espn.go.com/nba/team/_/name/cha/charlotte-hornets,21.5,u,,,u,,
Chicago Bulls,CHI,chicago-bulls,http://espn.go.com/nba/team/_/name/chi/chicago-bulls,47.5,o,,,u,,
Cleveland Cavaliers,CLE,cleveland-cavaliers,http://espn.go.com/nba/team/_/name/cle/cleveland-cavaliers,32.5,u,,,u,,
Dallas Mavericks,DAL,dallas-mavericks,http://espn.go.com/nba/team/_/name/dal/dallas-mavericks,45.5,u,,,u,,
Denver Nuggets,DEN,denver-nuggets,http://espn.go.com/nba/team/_/name/den/denver-nuggets,49.5,u,,,u,,
Detroit Pistons,DET,detroit-pistons,http://espn.go.com/nba/team/_/name/det/detroit-pistons,32.5,o,,,o,,
Golden State Warriors,GS,golden-state-warriors,http://espn.go.com/nba/team/_/name/gs/golden-state-warriors,34.5,u,,,o,,
Houston Rockets,HOU,houston-rockets,http://espn.go.com/nba/team/_/name/hou/houston-rockets,30.5,u,,,u,,
Indiana Pacers,IND,indiana-pacers,http://espn.go.com/nba/team/_/name/ind/indiana-pacers,51.5,u,,,u,,
Los Angeles Clippers,LAC,los-angeles-clippers,http://espn.go.com/nba/team/_/name/lac/los-angeles-clippers,48.5,u,,,o,,
Los Angeles Lakers,LAL,los-angeles-lakers,http://espn.go.com/nba/team/_/name/lal/los-angeles-lakers,60.5,u,,,u,,
Memphis Grizzlies,MEM,memphis-grizzlies,http://espn.go.com/nba/team/_/name/mem/memphis-grizzlies,48.5,u,,,u,,
Miami Heat,MIA,miami-heat,http://espn.go.com/nba/team/_/name/mia/miami-heat,60.5,o,,,o,,
Milwaukee Bucks,MIL,milwaukee-bucks,http://espn.go.com/nba/team/_/name/mil/milwaukee-bucks,36.5,o,,,u,,
Minnesota Timberwolves,MIN,minnesota-timberwolves,http://espn.go.com/nba/team/_/name/min/minnesota-timberwolves,39.5,o,,,o,,
New Orleans Pelicans,NO,new-orleans-pelicans,http://espn.go.com/nba/team/_/name/no/new-orleans-pelicans,25.5,o,,,o,,
New York Knicks,NY,new-york-knicks,http://espn.go.com/nba/team/_/name/ny/new-york-knicks,45.5,o,,,o,,
Oklahoma City Thunder,OKC,oklahoma-city-thunder,http://espn.go.com/nba/team/_/name/okc/oklahoma-city-thunder,59.5,u,,,o,,
Orlando Magic,ORL,orlando-magic,http://espn.go.com/nba/team/_/name/orl/orlando-magic,24.5,o,,,u,,
Philadelphia 76ers,PHI,philadelphia-76ers,http://espn.go.com/nba/team/_/name/phi/philadelphia-76ers,47.5,u,,,u,,
Phoenix Suns,PHX,phoenix-suns,http://espn.go.com/nba/team/_/name/phx/phoenix-suns,34.5,u,,,o,,
Portland Trail Blazers,POR,portland-trail-blazers,http://espn.go.com/nba/team/_/name/por/portland-trail-blazers,35.5,o,,,o,,
Sacramento Kings,SAC,sacramento-kings,http://espn.go.com/nba/team/_/name/sac/sacramento-kings,29.5,u,,,u,,
San Antonio Spurs,SA,san-antonio-spurs,http://espn.go.com/nba/team/_/name/sa/san-antonio-spurs,55.5,o,,,o,,
Toronto Raptors,TOR,toronto-raptors,http://espn.go.com/nba/team/_/name/tor/toronto-raptors,31.5,o,,,o,,
Utah Jazz,UTAH,utah-jazz,http://espn.go.com/nba/team/_/name/utah/utah-jazz,42.5,o,,,o,,
Washington Wizards,WSH,washington-wizards,http://espn.go.com/nba/team/_/name/wsh/washington-wizards,31.5,o,,,u,,
